tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2017-02-28,Sul,"24,40","527,91","1.077,95",,,
Termica,2017-02-28,Sudeste/Centro-Oeste,"158,91","3.237,99","6.918,43",,,
Termica,2017-02-28,Sistema Interligado Nacional,"267,40","6.147,66","13.318,70",,,
Termica,2017-03-01,Norte,"18,21","18,21","1.582,44",,,
Termica,2017-03-01,Nordeste,"59,50","59,50","3.817,59",,,
Termica,2017-03-01,Sul,"27,16","27,16","1.105,11",,,
Termica,2017-03-01,Sudeste/Centro-Oeste,"165,99","165,99","7.084,42",,,
Termica,2017-03-01,Sistema Interligado Nacional,"270,85","270,85","13.589,56",,,
Termica,2017-03-02,Norte,"14,60","32,81","1.597,04",,,
Termica,2017-03-02,Nordeste,"71,95","131,45","3.889,54",,,
Termica,2017-03-02,Sul,"26,62","53,78","1.131,73",,,
Termica,2017-03-02,Sudeste/Centro-Oeste,"157,76","323,75","7.242,17",,,
Termica,2017-03-02,Sistema Interligado Nacional,"270,93","541,78","13.860,49",,,
Termica,2017-03-03,Norte,"15,08","47,89","1.612,13",,,
Termica,2017-03-03,Nordeste,"64,64","196,09","3.954,18",,,
Termica,2017-03-03,Sul,"24,54","78,32","1.156,27",,,
Termica,2017-03-03,Sudeste/Centro-Oeste,"158,11","481,86","7.400,29",,,
Termica,2017-03-03,Sistema Interligado Nacional,"262,37","804,16","14.122,86",,,
Termica,2017-03-04,Norte,"14,22","62,11","1.626,34",,,
Termica,2017-03-04,Nordeste,"55,16","251,25","4.009,33",,,
Termica,2017-03-04,Sul,"23,79","102,11","1.180,06",,,
Termica,2017-03-04,Sudeste/Centro-Oeste,"148,95","630,81","7.549,24",,,
Termica,2017-03-04,Sistema Interligado Nacional,"242,12","1.046,28","14.364,98",,,
Termica,2017-03-05,Norte,"14,85","76,95","1.641,19",,,
Termica,2017-03-05,Nordeste,"52,72","303,97","4.062,06",,,
Termica,2017-03-05,Sul,"24,04","126,15","1.204,10",,,
Termica,2017-03-05,Sudeste/Centro-Oeste,"141,32","772,14","7.690,56",,,
Termica,2017-03-05,Sistema Interligado Nacional,"232,93","1.279,21","14.597,91",,,
Termica,2017-03-06,Norte,"13,97","90,92","1.655,16",,,
Termica,2017-03-06,Nordeste,"70,39","374,36","4.132,45",,,
Termica,2017-03-06,Sul,"23,81","149,96","1.227,92",,,
Termica,2017-03-06,Sudeste/Centro-Oeste,"150,57","922,70","7.841,13",,,
Termica,2017-03-06,Sistema Interligado Nacional,"258,74","1.537,95","14.856,65",,,
Termica,2017-03-07,Norte,"14,11","105,03","1.669,27",,,
Termica,2017-03-07,Nordeste,"71,33","445,69","4.203,77",,,
Termica,2017-03-07,Sul,"24,71","174,67","1.252,63",,,
Termica,2017-03-07,Sudeste/Centro-Oeste,"153,50","1.076,20","7.994,63",,,
Termica,2017-03-07,Sistema Interligado Nacional,"263,65","1.801,60","15.120,30",,,
Termica,2017-03-08,Norte,"13,18","118,22","1.682,45",,,
Termica,2017-03-08,Nordeste,"69,27","514,96","4.273,04",,,
Termica,2017-03-08,Sul,"25,09","199,76","1.277,72",,,
Termica,2017-03-08,Sudeste/Centro-Oeste,"150,47","1.226,67","8.145,10",,,
Termica,2017-03-08,Sistema Interligado Nacional,"258,01","2.059,61","15.378,31",,,
Termica,2017-03-09,Norte,"12,64","130,86","1.695,09",,,
Termica,2017-03-09,Nordeste,"68,60","583,56","4.341,64",,,
Termica,2017-03-09,Sul,"23,29","223,05","1.301,01",,,
Termica,2017-03-09,Sudeste/Centro-Oeste,"153,32","1.379,99","8.298,42",,,
Termica,2017-03-09,Sistema Interligado Nacional,"257,85","2.317,46","15.636,16",,,
Termica,2017-03-10,Norte,"12,66","143,51","1.707,75",,,
Termica,2017-03-10,Nordeste,"62,92","646,48","4.404,56",,,
Termica,2017-03-10,Sul,"24,14","247,20","1.325,15",,,
Termica,2017-03-10,Sudeste/Centro-Oeste,"153,40","1.533,39","8.451,82",,,
Termica,2017-03-10,Sistema Interligado Nacional,"253,12","2.570,58","15.889,29",,,
Termica,2017-03-11,Norte,"13,05","156,57","1.720,80",,,
Termica,2017-03-11,Nordeste,"68,46","714,94","4.473,03",,,
Termica,2017-03-11,Sul,"26,01","273,21","1.351,16",,,
Termica,2017-03-11,Sudeste/Centro-Oeste,"154,66","1.688,06","8.606,48",,,
Termica,2017-03-11,Sistema Interligado Nacional,"262,19","2.832,77","16.151,48",,,
Termica,2017-03-12,Norte,"12,33","168,90","1.733,13",,,
Termica,2017-03-12,Nordeste,"71,40","786,34","4.544,42",,,
Termica,2017-03-12,Sul,"25,98","299,19","1.377,14",,,
Termica,2017-03-12,Sudeste/Centro-Oeste,"151,23","1.839,28","8.757,71",,,
Termica,2017-03-12,Sistema Interligado Nacional,"260,94","3.093,71","16.412,41",,,
Termica,2017-03-13,Norte,"12,15","181,05","1.745,29",,,
Termica,2017-03-13,Nordeste,"80,14","866,48","4.624,56",,,
Termica,2017-03-13,Sul,"25,48","324,67","1.402,62",,,
Termica,2017-03-13,Sudeste/Centro-Oeste,"154,28","1.993,57","8.912,00",,,
Termica,2017-03-13,Sistema Interligado Nacional,"272,05","3.365,76","16.684,47",,,
Termica,2017-03-14,Norte,"11,82","192,87","1.757,11",,,
Termica,2017-03-14,Nordeste,"79,71","946,19","4.704,27",,,
Termica,2017-03-14,Sul,"25,27","349,94","1.427,89",,,
Termica,2017-03-14,Sudeste/Centro-Oeste,"153,60","2.147,17","9.065,60",,,
Termica,2017-03-14,Sistema Interligado Nacional,"270,40","3.636,17","16.954,87",,,
Termica,2017-03-15,Norte,"12,35","205,22","1.769,46",,,
Termica,2017-03-15,Nordeste,"76,42","1.022,61","4.780,69",,,
Termica,2017-03-15,Sul,"26,52","376,46","1.454,41",,,
Termica,2017-03-15,Sudeste/Centro-Oeste,"155,43","2.302,60","9.221,02",,,
Termica,2017-03-15,Sistema Interligado Nacional,"270,72","3.906,88","17.225,59",,,
Termica,2017-03-16,Norte,"12,63","217,85","1.782,08",,,
Termica,2017-03-16,Nordeste,"80,36","1.102,97","4.861,05",,,
Termica,2017-03-16,Sul,"25,82","402,27","1.480,23",,,
Termica,2017-03-16,Sudeste/Centro-Oeste,"160,32","2.462,92","9.381,35",,,
Termica,2017-03-16,Sistema Interligado Nacional,"279,13","4.186,01","17.504,71",,,
Termica,2017-03-17,Norte,"13,09","230,94","1.795,18",,,
Termica,2017-03-17,Nordeste,"86,22","1.189,19","4.947,28",,,
Termica,2017-03-17,Sul,"24,72","426,99","1.504,95",,,
Termica,2017-03-17,Sudeste/Centro-Oeste,"157,82","2.620,74","9.539,17",,,
Termica,2017-03-17,Sistema Interligado Nacional,"281,86","4.467,86","17.786,57",,,
Termica,2017-03-18,Norte,"12,23","243,18","1.807,41",,,
Termica,2017-03-18,Nordeste,"83,56","1.272,75","5.030,83",,,
Termica,2017-03-18,Sul,"21,88","448,87","1.526,83",,,
Termica,2017-03-18,Sudeste/Centro-Oeste,"159,91","2.780,65","9.699,08",,,
Termica,2017-03-18,Sistema Interligado Nacional,"277,58","4.745,45","18.064,15",,,
Termica,2017-03-19,Norte,"12,36","255,54","1.819,77",,,
Termica,2017-03-19,Nordeste,"72,81","1.345,56","5.103,64",,,
Termica,2017-03-19,Sul,"21,13","470,01","1.547,96",,,
Termica,2017-03-19,Sudeste/Centro-Oeste,"130,81","2.911,46","9.829,89",,,
Termica,2017-03-19,Sistema Interligado Nacional,"237,12","4.982,56","18.301,26",,,
Termica,2017-03-20,Norte,"11,52","267,06","1.831,29",,,
Termica,2017-03-20,Nordeste,"72,65","1.417,76","5.175,84",,,
Termica,2017-03-20,Sul,"21,70","491,80","1.569,75",,,
Termica,2017-03-20,Sudeste/Centro-Oeste,"126,72","3.032,70","9.951,12",,,
Termica,2017-03-20,Sistema Interligado Nacional,"232,59","5.209,31","18.528,01",,,
Termica,2017-03-21,Norte,"11,40","278,46","1.842,69",,,
Termica,2017-03-21,Nordeste,"79,67","1.498,11","5.256,20",,,
Termica,2017-03-21,Sul,"22,37","514,41","1.592,36",,,
Termica,2017-03-21,Sudeste/Centro-Oeste,"127,12","3.160,23","10.078,65",,,
Termica,2017-03-21,Sistema Interligado Nacional,"240,56","5.451,20","18.769,90",,,
Termica,2017-03-22,Norte,"11,60","290,06","1.854,29",,,
Termica,2017-03-22,Nordeste,"83,63","1.581,91","5.340,00",,,
Termica,2017-03-22,Sul,"21,85","536,26","1.614,21",,,
Termica,2017-03-22,Sudeste/Centro-Oeste,"128,64","3.292,41","10.210,84",,,
Termica,2017-03-22,Sistema Interligado Nacional,"245,72","5.700,63","19.019,34",,,
Termica,2017-03-23,Norte,"11,49","301,54","1.865,78",,,
Termica,2017-03-23,Nordeste,"78,91","1.660,72","5.418,80",,,
Termica,2017-03-23,Sul,"21,48","557,73","1.635,69",,,
Termica,2017-03-23,Sudeste/Centro-Oeste,"130,66","3.424,61","10.343,04",,,
Termica,2017-03-23,Sistema Interligado Nacional,"242,53","5.944,60","19.263,31",,,
Termica,2017-03-24,Norte,"13,29","314,83","1.879,07",,,
Termica,2017-03-24,Nordeste,"74,77","1.735,53","5.493,61",,,
Termica,2017-03-24,Sul,"21,82","579,36","1.657,32",,,
Termica,2017-03-24,Sudeste/Centro-Oeste,"159,38","3.583,99","10.502,41",,,
Termica,2017-03-24,Sistema Interligado Nacional,"269,26","6.213,71","19.532,42",,,
Termica,2017-03-25,Norte,"13,03","327,86","1.892,10",,,
Termica,2017-03-25,Nordeste,"77,99","1.813,52","5.571,60",,,
Termica,2017-03-25,Sul,"20,70","600,07","1.678,02",,,
Termica,2017-03-25,Sudeste/Centro-Oeste,"152,90","3.736,88","10.655,31",,,
Termica,2017-03-25,Sistema Interligado Nacional,"264,62","6.478,33","19.797,03",,,
Termica,2017-03-26,Norte,"13,03","340,61","1.904,84",,,
Termica,2017-03-26,Nordeste,"54,82","1.868,87","5.626,96",,,
Termica,2017-03-26,Sul,"22,08","622,11","1.700,06",,,
Termica,2017-03-26,Sudeste/Centro-Oeste,"161,77","3.908,46","10.826,89",,,
Termica,2017-03-26,Sistema Interligado Nacional,"251,70","6.740,05","20.058,75",,,
Termica,2017-03-27,Norte,"12,96","353,77","1.918,01",,,
Termica,2017-03-27,Nordeste,"74,66","1.943,19","5.701,28",,,
Termica,2017-03-27,Sul,"22,31","644,42","1.722,37",,,
Termica,2017-03-27,Sudeste/Centro-Oeste,"160,94","4.058,83","10.977,26",,,
Termica,2017-03-27,Sistema Interligado Nacional,"270,87","7.000,20","20.318,91",,,
Termica,2017-03-28,Norte,"12,63","366,40","1.930,63",,,
Termica,2017-03-28,Nordeste,"79,29","2.022,47","5.780,56",,,
Termica,2017-03-28,Sul,"20,58","665,00","1.742,95",,,
Termica,2017-03-28,Sudeste/Centro-Oeste,"149,50","4.213,28","11.131,71",,,
Termica,2017-03-28,Sistema Interligado Nacional,"262,00","7.267,15","20.585,85",,,
Termica,2017-03-29,Norte,"11,75","378,15","1.942,39",,,
Termica,2017-03-29,Nordeste,"84,92","2.107,86","5.865,95",,,
Termica,2017-03-29,Sul,"21,21","686,20","1.764,16",,,
Termica,2017-03-29,Sudeste/Centro-Oeste,"139,48","4.356,35","11.274,78",,,
Termica,2017-03-29,Sistema Interligado Nacional,"257,36","7.528,56","20.847,27",,,
Termica,2017-03-30,Norte,"13,52","391,47","1.955,70",,,
Termica,2017-03-30,Nordeste,"89,04","2.197,19","5.955,28",,,
Termica,2017-03-30,Sul,"22,98","709,12","1.787,08",,,
Termica,2017-03-30,Sudeste/Centro-Oeste,"137,72","4.497,71","11.416,14",,,
Termica,2017-03-30,Sistema Interligado Nacional,"263,26","7.795,49","21.114,20",,,
Termica,2017-03-31,Norte,"11,67","403,14","1.967,38",,,
Termica,2017-03-31,Nordeste,"77,44","2.274,63","6.032,72",,,
Termica,2017-03-31,Sul,"25,01","734,13","1.812,09",,,
Termica,2017-03-31,Sudeste/Centro-Oeste,"141,39","4.639,10","11.557,53",,,
Termica,2017-03-31,Sistema Interligado Nacional,"255,52","8.051,01","21.369,71",,,
