data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
2005-10-10,SIN,1.138,10.949,309.449,,,
2005-10-11,SE/CO,738,7.549,193.039,,,
2005-10-11,S,189,1.921,51.436,,,
2005-10-11,NE,169,1.818,45.197,,,
2005-10-11,N,74,831,20.946,,,
2005-10-11,SIN,1.170,12.119,310.619,,,
2005-10-12,SE/CO,644,8.192,193.682,,,
2005-10-12,S,157,2.077,51.593,,,
2005-10-12,NE,151,1.969,45.349,,,
2005-10-12,N,73,904,21.019,,,
2005-10-12,SIN,1.024,13.142,311.643,,,
2005-10-13,SE/CO,746,8.939,194.429,,,
2005-10-13,S,195,2.272,51.787,,,
2005-10-13,NE,168,2.137,45.517,,,
2005-10-13,N,77,981,21.096,,,
2005-10-13,SIN,1.187,14.329,312.829,,,
2005-10-14,SE/CO,764,9.702,195.193,,,
2005-10-14,S,195,2.467,51.982,,,
2005-10-14,NE,170,2.308,45.687,,,
2005-10-14,N,77,1.059,21.174,,,
2005-10-14,SIN,1.206,15.535,314.036,,,
2005-10-15,SE/CO,679,10.382,195.872,,,
2005-10-15,S,163,2.630,52.146,,,
2005-10-15,NE,161,2.468,45.848,,,
2005-10-15,N,75,1.134,21.249,,,
2005-10-15,SIN,1.078,16.614,315.114,,,
2005-10-16,SE/CO,581,10.963,196.453,,,
2005-10-16,S,133,2.763,52.279,,,
2005-10-16,NE,139,2.607,45.987,,,
2005-10-16,N,70,1.204,21.319,,,
2005-10-16,SIN,922,17.537,316.038,,,
2005-10-17,SE/CO,731,11.721,197.211,,,
2005-10-17,S,183,2.952,52.468,,,
2005-10-17,NE,164,2.777,46.156,,,
2005-10-17,N,78,1.284,21.399,,,
2005-10-17,SIN,1.155,18.734,317.234,,,
2005-10-18,SE/CO,743,12.464,197.954,,,
2005-10-18,S,187,3.139,52.654,,,
2005-10-18,NE,172,2.948,46.328,,,
2005-10-18,N,77,1.362,21.477,,,
2005-10-18,SIN,1.179,19.913,318.413,,,
2005-10-19,SE/CO,722,13.186,198.676,,,
2005-10-19,S,186,3.325,52.841,,,
2005-10-19,NE,171,3.120,46.499,,,
2005-10-19,N,78,1.439,21.554,,,
2005-10-19,SIN,1.157,21.070,319.570,,,
2005-10-20,SE/CO,722,13.908,199.402,,,
2005-10-20,S,188,3.513,53.028,,,
2005-10-20,NE,172,3.292,46.671,,,
2005-10-20,N,77,1.516,21.631,,,
2005-10-20,SIN,1.159,22.229,320.733,,,
2005-10-21,SE/CO,737,14.645,200.139,,,
2005-10-21,S,190,3.703,53.218,,,
2005-10-21,NE,173,3.465,46.845,,,
2005-10-21,N,76,1.592,21.707,,,
2005-10-21,SIN,1.177,23.405,321.909,,,
2005-10-22,SE/CO,681,15.326,200.820,,,
2005-10-22,S,169,3.873,53.388,,,
2005-10-22,NE,164,3.629,47.009,,,
2005-10-22,N,75,1.667,21.782,,,
2005-10-22,SIN,1.090,24.495,322.999,,,
2005-10-23,SE/CO,597,15.923,201.417,,,
2005-10-23,S,137,4.010,53.525,,,
2005-10-23,NE,148,3.778,47.157,,,
2005-10-23,N,74,1.741,21.856,,,
2005-10-23,SIN,956,25.451,323.955,,,
2005-10-24,SE/CO,713,16.637,202.131,,,
2005-10-24,S,185,4.194,53.710,,,
2005-10-24,NE,170,3.947,47.327,,,
2005-10-24,N,76,1.817,21.932,,,
2005-10-24,SIN,1.144,26.595,325.099,,,
2005-10-25,SE/CO,746,17.383,202.877,,,
2005-10-25,S,193,4.388,53.903,,,
2005-10-25,NE,175,4.122,47.501,,,
2005-10-25,N,78,1.895,22.010,,,
2005-10-25,SIN,1.192,27.787,326.291,,,
2005-10-26,SE/CO,756,18.139,203.633,,,
2005-10-26,S,190,4.578,54.093,,,
2005-10-26,NE,174,4.296,47.675,,,
2005-10-26,N,78,1.973,22.088,,,
2005-10-26,SIN,1.198,28.985,327.489,,,
2005-10-27,SE/CO,756,18.895,204.389,,,
2005-10-27,S,190,4.768,54.283,,,
2005-10-27,NE,175,4.471,47.850,,,
2005-10-27,N,78,2.051,22.166,,,
2005-10-27,SIN,1.199,30.185,328.688,,,
2005-10-28,SE/CO,756,19.651,205.145,,,
2005-10-28,S,194,4.962,54.477,,,
2005-10-28,NE,172,4.643,48.022,,,
2005-10-28,N,78,2.129,22.244,,,
2005-10-28,SIN,1.200,31.384,329.888,,,
2005-10-29,SE/CO,681,20.332,205.826,,,
2005-10-29,S,161,5.122,54.638,,,
2005-10-29,NE,165,4.807,48.187,,,
2005-10-29,N,76,2.205,22.320,,,
2005-10-29,SIN,1.082,32.466,330.970,,,
2005-10-30,SE/CO,585,20.917,206.411,,,
2005-10-30,S,133,5.255,54.771,,,
2005-10-30,NE,151,4.959,48.338,,,
2005-10-30,N,72,2.277,22.392,,,
2005-10-30,SIN,942,33.408,331.912,,,
2005-10-31,SE/CO,678,21.595,207.089,,,
2005-10-31,S,173,5.428,54.943,,,
2005-10-31,NE,170,5.129,48.508,,,
2005-10-31,N,78,2.355,22.470,,,
2005-10-31,SIN,1.098,34.506,333.010,,,
2005-11-01,SE/CO,688,688,207.777,,,
2005-11-01,S,183,183,55.126,,,
2005-11-01,NE,171,171,48.679,,,
2005-11-01,N,77,77,22.547,,,
2005-11-01,SIN,1.118,1.118,334.128,,,
2005-11-02,SE/CO,599,1.286,208.375,,,
2005-11-02,S,143,325,55.269,,,
2005-11-02,NE,154,325,48.834,,,
2005-11-02,N,74,150,22.620,,,
2005-11-02,SIN,969,2.087,335.098,,,
2005-11-03,SE/CO,684,1.971,209.060,,,
2005-11-03,S,187,512,55.455,,,
2005-11-03,NE,172,497,49.005,,,
2005-11-03,N,78,229,22.699,,,
2005-11-03,SIN,1.121,3.208,336.219,,,
2005-11-04,SE/CO,698,2.669,209.758,,,
2005-11-04,S,193,705,55.649,,,
2005-11-04,NE,173,670,49.179,,,
2005-11-04,N,78,307,22.777,,,
2005-11-04,SIN,1.143,4.352,337.362,,,
2005-11-05,SE/CO,640,3.309,210.398,,,
2005-11-05,S,170,875,55.819,,,
2005-11-05,NE,163,834,49.342,,,
2005-11-05,N,75,382,22.852,,,
2005-11-05,SIN,1.049,5.401,338.411,,,
2005-11-06,SE/CO,584,3.893,210.982,,,
2005-11-06,S,141,1.017,55.960,,,
2005-11-06,NE,149,983,49.491,,,
2005-11-06,N,73,455,22.925,,,
2005-11-06,SIN,946,6.347,339.357,,,
2005-11-07,SE/CO,702,4.598,211.687,,,
