tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Hidraulica,2017-02-23,Nordeste,"56,44","1.258,40","2.969,36",,,
Hidraulica,2017-02-23,Sul,"273,84","5.636,05","13.873,30",,,
Hidraulica,2017-02-23,Sudeste/Centro-Oeste,"672,82","14.080,39","32.434,45",,,
Hidraulica,2017-02-23,Itaipu,"250,39","6.076,48","13.500,47",,,
Hidraulica,2017-02-24,Norte,"225,24","4.812,42","8.783,11",,,
Hidraulica,2017-02-24,Nordeste,"55,28","1.313,68","3.024,65",,,
Hidraulica,2017-02-24,Sul,"261,75","5.897,81","14.135,05",,,
Hidraulica,2017-02-24,Sudeste/Centro-Oeste,"650,77","14.731,16","33.085,23",,,
Hidraulica,2017-02-24,Itaipu,"227,04","6.303,52","13.727,51",,,
Hidraulica,2017-02-25,Norte,"209,57","5.021,99","8.992,68",,,
Hidraulica,2017-02-25,Nordeste,"55,24","1.368,92","3.079,89",,,
Hidraulica,2017-02-25,Sul,"204,20","6.102,00","14.339,24",,,
Hidraulica,2017-02-25,Sudeste/Centro-Oeste,"542,29","15.273,45","33.627,52",,,
Hidraulica,2017-02-25,Itaipu,"205,09","6.508,60","13.932,60",,,
Hidraulica,2017-02-26,Norte,"170,39","5.192,38","9.163,07",,,
Hidraulica,2017-02-26,Nordeste,"57,46","1.426,38","3.137,35",,,
Hidraulica,2017-02-26,Sul,"155,38","6.257,38","14.494,63",,,
Hidraulica,2017-02-26,Sudeste/Centro-Oeste,"505,95","15.779,40","34.133,46",,,
Hidraulica,2017-02-26,Itaipu,"186,21","6.694,81","14.118,80",,,
Hidraulica,2017-02-27,Norte,"188,64","5.381,03","9.351,72",,,
Hidraulica,2017-02-27,Nordeste,"54,33","1.480,71","3.191,68",,,
Hidraulica,2017-02-27,Sul,"194,88","6.452,27","14.689,51",,,
Hidraulica,2017-02-27,Sudeste/Centro-Oeste,"548,74","16.328,14","34.682,20",,,
Hidraulica,2017-02-27,Itaipu,"169,31","6.864,12","14.288,12",,,
Hidraulica,2017-02-28,Norte,"181,34","5.562,36","9.533,05",,,
Hidraulica,2017-02-28,Nordeste,"53,69","1.534,40","3.245,37",,,
