tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2006-03-12,S,37,392,2.151,,,
Termica,2006-03-12,NE,4,41,272,,,
Termica,2006-03-12,N,0,0,0,,,
Termica,2006-03-12,SIN,94,1.271,6.122,,,
Termica,2006-03-13,SE/CO,51,888,3.750,,,
Termica,2006-03-13,S,36,428,2.186,,,
Termica,2006-03-13,NE,4,45,277,,,
Termica,2006-03-13,N,0,0,0,,,
Termica,2006-03-13,SIN,90,1.361,6.213,,,
Termica,2006-03-14,SE/CO,51,939,3.801,,,
Termica,2006-03-14,S,34,462,2.220,,,
Termica,2006-03-14,NE,4,50,281,,,
Termica,2006-03-14,N,0,0,0,,,
Termica,2006-03-14,SIN,89,1.451,6.302,,,
Termica,2006-03-15,SE/CO,60,1.000,3.861,,,
Termica,2006-03-15,S,36,497,2.256,,,
Termica,2006-03-15,NE,3,52,284,,,
Termica,2006-03-15,N,0,0,0,,,
Termica,2006-03-15,SIN,98,1.549,6.400,,,
Termica,2006-03-16,SE/CO,64,1.064,3.925,,,
Termica,2006-03-16,S,37,534,2.293,,,
Termica,2006-03-16,NE,1,53,284,,,
Termica,2006-03-16,N,0,0,0,,,
Termica,2006-03-16,SIN,102,1.651,6.502,,,
Termica,2006-03-17,SE/CO,61,1.124,3.987,,,
Termica,2006-03-17,S,36,570,2.328,,,
Termica,2006-03-17,NE,0,53,285,,,
Termica,2006-03-17,N,0,0,0,,,
Termica,2006-03-17,SIN,97,1.748,6.600,,,
Termica,2006-03-18,SE/CO,55,1.179,4.042,,,
Termica,2006-03-18,S,36,606,2.364,,,
Termica,2006-03-18,NE,4,57,288,,,
Termica,2006-03-18,N,0,0,0,,,
Termica,2006-03-18,SIN,94,1.841,6.694,,,
Termica,2006-03-19,SE/CO,61,1.240,4.103,,,
Termica,2006-03-19,S,35,641,2.399,,,
Termica,2006-03-19,NE,4,61,293,,,
Termica,2006-03-19,N,0,0,0,,,
Termica,2006-03-19,SIN,101,1.942,6.795,,,
Termica,2006-03-20,SE/CO,61,1.302,4.164,,,
Termica,2006-03-20,S,36,677,2.435,,,
Termica,2006-03-20,NE,4,65,297,,,
Termica,2006-03-20,N,0,0,0,,,
Termica,2006-03-20,SIN,101,2.044,6.896,,,
Termica,2006-03-21,SE/CO,63,1.364,4.227,,,
Termica,2006-03-21,S,35,712,2.470,,,
Termica,2006-03-21,NE,4,69,301,,,
