tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-03-01,Sistema Interligado Nacional,"47,49","47,49","4.730,97",,,
Eolica,2017-03-02,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-02,Nordeste,"43,41","85,49","4.124,00",,,
Eolica,2017-03-02,Sul,"8,29","13,71","658,68",,,
Eolica,2017-03-02,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-02,Sistema Interligado Nacional,"51,71","99,20","4.782,68",,,
Eolica,2017-03-03,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-03,Nordeste,"55,25","140,74","4.179,25",,,
Eolica,2017-03-03,Sul,"12,74","26,45","671,41",,,
Eolica,2017-03-03,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-03,Sistema Interligado Nacional,"67,99","167,19","4.850,67",,,
Eolica,2017-03-04,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-04,Nordeste,"54,73","195,46","4.233,98",,,
Eolica,2017-03-04,Sul,"17,96","44,41","689,38",,,
Eolica,2017-03-04,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-04,Sistema Interligado Nacional,"72,69","239,87","4.923,36",,,
Eolica,2017-03-05,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-05,Nordeste,"51,43","246,89","4.285,41",,,
Eolica,2017-03-05,Sul,"12,48","56,90","701,86",,,
Eolica,2017-03-05,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-05,Sistema Interligado Nacional,"63,91","303,79","4.987,27",,,
Eolica,2017-03-06,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-06,Nordeste,"56,23","303,13","4.341,64",,,
Eolica,2017-03-06,Sul,"7,37","64,26","709,23",,,
Eolica,2017-03-06,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-06,Sistema Interligado Nacional,"63,60","367,39","5.050,87",,,
Eolica,2017-03-07,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-07,Nordeste,"60,33","363,46","4.401,97",,,
Eolica,2017-03-07,Sul,"7,17","71,43","716,40",,,
Eolica,2017-03-07,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-07,Sistema Interligado Nacional,"67,50","434,89","5.118,37",,,
Eolica,2017-03-08,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-08,Nordeste,"59,59","423,05","4.461,56",,,
Eolica,2017-03-08,Sul,"27,45","98,88","743,85",,,
Eolica,2017-03-08,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-08,Sistema Interligado Nacional,"87,04","521,93","5.205,41",,,
Eolica,2017-03-09,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-09,Nordeste,"60,96","484,01","4.522,53",,,
Eolica,2017-03-09,Sul,"23,19","122,07","767,03",,,
Eolica,2017-03-09,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-09,Sistema Interligado Nacional,"84,15","606,08","5.289,56",,,
Eolica,2017-03-10,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-10,Nordeste,"70,93","554,94","4.593,46",,,
Eolica,2017-03-10,Sul,"13,83","135,90","780,86",,,
Eolica,2017-03-10,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-10,Sistema Interligado Nacional,"84,76","690,84","5.374,32",,,
Eolica,2017-03-11,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-11,Nordeste,"41,47","596,42","4.634,93",,,
Eolica,2017-03-11,Sul,"10,41","146,31","791,28",,,
Eolica,2017-03-11,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-11,Sistema Interligado Nacional,"51,89","742,73","5.426,21",,,
Eolica,2017-03-12,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-12,Nordeste,"49,38","645,79","4.684,31",,,
Eolica,2017-03-12,Sul,"21,51","167,82","812,79",,,
Eolica,2017-03-12,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-12,Sistema Interligado Nacional,"70,89","813,62","5.497,10",,,
Eolica,2017-03-13,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-13,Nordeste,"37,35","683,14","4.721,66",,,
Eolica,2017-03-13,Sul,"12,64","180,47","825,43",,,
Eolica,2017-03-13,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-13,Sistema Interligado Nacional,"49,99","863,61","5.547,09",,,
Eolica,2017-03-14,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-14,Nordeste,"48,19","731,33","4.769,84",,,
Eolica,2017-03-14,Sul,"5,97","186,44","831,40",,,
Eolica,2017-03-14,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-14,Sistema Interligado Nacional,"54,15","917,76","5.601,24",,,
Eolica,2017-03-15,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-15,Nordeste,"45,90","777,23","4.815,75",,,
Eolica,2017-03-15,Sul,"17,47","203,91","848,87",,,
Eolica,2017-03-15,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-15,Sistema Interligado Nacional,"63,37","981,14","5.664,62",,,
Eolica,2017-03-16,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-16,Nordeste,"48,64","825,87","4.864,39",,,
Eolica,2017-03-16,Sul,"19,67","223,58","868,54",,,
Eolica,2017-03-16,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
